site,latitude,longitude
best_pt,49.3819729,-122.8795259
boulder_island,49.3114465,-122.938326
brighton_beach,49.35914,-122.89389
old_buntzen_pp,49.3698033,-122.8733116
n_croker_island,49.4481372,-122.87396
s_croker_island,49.4314554,-122.86964
s_johnson_bay,49.4021643,-122.8662349
jug_island,49.3302902,-122.916925
twin_islands,49.3474048,-122.8931744
